delay,întârziere
feeding,alimentare
pension,de pensii
parking,parcare
banana,banana
planner,planificator
genuine,autentic
royal,royal
operate,opera
sheriff,sheriff
housing,locuințe
portuguese,portugheză
dose,doza
q,q
arcade,arcade
height,înălțime
tide,valul
finally,în cele din urmă
diary,jurnal
prepare,pregăti
now,acum
murray,murray
manufacture,fabricarea
contractor,contractantul
duck,rață
rosa,rosa
failing,faptul că nu
client,client
conviction,condamnare
look,uite
theta,theta
enemy,inamicul
worthy,demn
logging,logare
complex,complex
ago,în urmă
louisville,louisville
premises,sediul
wellington,wellington
flour,faina
outdoor,în aer liber
palestinian,palestinian
audio,audio
gnome,gnome
surely,cu siguranță
bathroom,baie
justify,justifica
enough,suficient
soonest,cât mai curând
deluxe,deluxe
advocacy,advocacy
mileage,kilometraj
zimbabwe,zimbabwe
telling,spune
dallas,dallas
exhaust,evacuare
payday,payday
texture,textura
distance,distanța
american,american
pet,animale de companie
acid,acid
mississippi,mississippi
paragraph,punctul
seeking,cauta
softball,softball
wheat,grâu
baby,copilul
duration,durata
christopher,christopher
fail,nu reușesc
elements,elemente
numbers,numere
nurse,asistenta
hull,hull
compliant,compatibil
jacksonville,jacksonville
bacterial,bacteriene
military,militar
run,rula
style,stil
retailer,retailerul
department,departamentul
adams,adams
chosen,ales
grow,cresc
auction,licitație
carolina,carolina
already,deja
dividend,dividend
ala,ala
retrieval,recuperarea
crossing,trecere
cowboy,cowboy
impact,impactul
allowance,alocația
pressure,presiune
dirty,murdar
informed,informat
offering,oferind
bit,pic
earn,câștiga
cleveland,cleveland
bald,chel
cholesterol,colesterol
technological,tehnologice
cathedral,catedrala
drag,drag
germany,germania
madrid,madrid
caribbean,caraibe
chinese,chineză
distributed,distribuite
envelope,plic
burning,arderea
noise,zgomot
burden,sarcina
line,linie
governing,de conducere
taxation,impozitarea
mentor,mentor
coral,coral
rocky,rocky
click,faceți clic pe
thinking,gândire
update,update
user,utilizator
saved,salvat
thunder,thunder
think,cred
induced,induse
analyzed,analizate
no,nu
play,joaca
surround,surround
rouge,rouge
memorabilia,memorabilia
settled,stabilit
affiliation,afiliere
manually,manual
ad,anunțul
checklist,lista de verificare
marc,marc
compressed,comprimat
albany,albany
collected,colectate
influence,influența
durable,durabil
kirk,kirk
location,locație
writer,scriitor
describe,descrie
facilitate,facilita
shared,comună
volleyball,volei
employee,angajat
tell,spune
reported,raportat
concentrate,concentrat
let,să
signature,semnătura
estimate,estimarea
out,afară
stone,piatra
corrections,corecții
urge,nevoia de
commodity,de mărfuri
broadband,bandă largă
hotel,hotel
membership,calitatea de membru
tail,coada
adaptation,adaptarea
convenience,confort
batch,lot
elegant,elegant
complaint,plângere
funny,amuzant
beer,bere
wish,doresc
optical,optice
ladder,scara
bargain,afacere
awful,groaznic
shut,taci
broken,rupt
season,sezon
twist,poftă de mâncare
provincial,provincial
perspective,perspectiva
migration,migrația
identity,identitatea
packed,ambalate
newsletter,newsletter
visiting,vizita
church,biserica
aerial,aeriene
michael,michael
timing,calendarul
bar,bar
accommodate,potrivi
zealand,zeelandă
legal,juridice
perry,perry
fiscal,fiscale
recruitment,recrutare
sufficient,suficient
soma,soma
developer,producător
laden,laden
pipeline,conducta
grocery,alimentar
ruled,condus
vessel,vas
zu,zu
hairy,paroase
intro,intro
brunei,brunei
bradley,bradley
terminology,terminologie
house,casa
richardson,richardson
bid,oferta
dry,uscat
thoroughly,bine
statistical,statistică
sad,trist
silk,mătase
sail,naviga
nine,nouă
centered,centrat
ghost,fantoma
generator,generator
oxygen,oxigen
grey,gri
correlation,corelație
halloween,halloween
merit,merit
offshore,offshore
disciplinary,disciplinare
grateful,recunoscător
flexibility,flexibilitate
refresh,refresh
new,noi
statistics,statistici
niger,niger
pin,pin
sector,sectorul
senator,senatorul
stylish,elegant
question,întrebare
polymer,polimer
realistic,realist
computational,calcul
reynolds,reynolds
sen,sen
judgment,judecata
atlanta,atlanta
invoice,factura
secure,sigur
zoning,zonare
identified,identificate
recognized,recunoscut
negative,negativ
thought,crezut
binding,obligatoriu
devices,dispozitive
desk,birou
davis,davis
room,cameră
rebel,rebel
continent,continent
integrate,integra
joy,bucurie
equivalent,echivalent
able,capabil
ur,ur
government,guvernul
thompson,thompson
several,mai multe
separated,separat
conversation,conversație
unlock,deblocare
nest,cuib
quiz,test
living,living
russia,rusia
invalid,invalid
insurance,asigurare
cut,se taie
colombia,columbia
impressive,impresionant
exchange,schimb
oxford,oxford
photograph,fotografia
hugo,hugo
revolutionary,revoluționar
high,mare
land,teren
case,caz
yahoo,yahoo
functioning,funcționarea
hit,hit
request,cerere
nicaragua,nicaragua
ask,cere
nursing,asistenta medicala
darwin,darwin
surgery,chirurgie
generate,genera
thriller,thriller
deserve,merita
concentration,concentrația
qualified,calificat
taxi,taxi
faced,confruntat
chase,chase
space,spațiu
code,cod
topic,subiect
estonia,estonia
help,ajuta
mathematical,matematică
watershed,cumpănă
solo,solo
garlic,usturoi
blackberry,blackberry
waterproof,rezistent la apa
treat,trata
fence,gard
manufactured,fabricate
comprehensive,cuprinzătoare
worldwide,la nivel mondial
attractive,atractiv
explicit,explicit
passage,trecerea
briefs,boxeri
spread,răspândirea
excuse,scuza
bless,binecuvântează
font,font
roots,rădăcinile
rugby,rugby
adjustable,reglabil
thumb,degetul mare
b,b
eve,eva
final,final
char,char
coast,coasta
fellowship,bursa
way,mod de
rebate,reducere
arranged,aranjate
congo,congo
potter,potter
yarn,fire
building,clădire
brook,brook
alpha,alpha
subcommittee,subcomitetul
explicitly,în mod explicit
highway,autostrada
anonymous,anonim
intensity,intensitatea
quite,destul de
uncle,unchiul
ecological,ecologice
workstation,stație de lucru
neck,gât
winner,câștigătorul
roman,roman
july,iulie
investigate,investiga
old,vechi
boxed,cutie
match,meci
disney,disney
stanley,stanley
network,rețea
encyclopedia,enciclopedie
compatibility,compatibilitate
attract,atrage
cruise,croaziera
canon,canon
indiana,indiana
discussion,discuție
assurance,asigurare
dispute,disputa
wrist,încheietura mâinii
relay,releu
fraction,fracțiune
passenger,de pasageri
copying,copierea
stage,etapa
problem,problema
functional,funcțional
crazy,nebun
medicine,medicina
activated,activat
precious,prețioase
related,legate de
only,numai
healthy,sănătos
mesa,mesa
parental,parental
milwaukee,milwaukee
grip,prindere
virtue,virtutea
maximize,pentru a maximiza
booking,rezervare
eye,ochi
jewel,bijuterie
metal,metal
compact,compact
corresponding,corespunzătoare
earl,earl
schema,schema
shareware,shareware
identifier,de identificare a
drunk,beat
system,sistemul
on,pe
compound,compus
competitive,competitive
employed,angajat
gabriel,gabriel
cheat,ieftin
concept,conceptul
merchandise,marfa
region,regiune
intelligence,inteligenta
axis,axa
foam,spuma
philip,filip
toll,taxa
subsequently,ulterior
stock,stoc
number,numărul
ob,ob
bb,bb
largely,în mare măsură
refined,rafinat
tonight,în seara asta
architecture,arhitectura
calculate,calcula
conceptual,conceptual
respected,respectat
rule,regula
farm,ferma
unexpected,neașteptat
disclosure,divulgarea
appointment,numirea
reading,lectură
distant,îndepărtat
binary,binar
participate,participa
valued,de apreciat
promptly,prompt
barcelona,barcelona
valentine,valentine
yet,încă
cos,pentru că
expected,de așteptat
interface,interfață
valley,valea
skirt,fusta
overnight,peste noapte
solar,solar
edwards,edwards
reid,reid
terrain,teren
edition,ediție
spirit,spiritul
bobby,bobby
television,televiziune
application,cerere
thereof,acestora
controlled,controlat
unfortunately,din păcate
buffer,tampon
hole,gaura
latin,latină
bali,bali
allen,allen
necessary,este necesar
vertex,vertex
lancaster,lancaster
felt,a simțit
civil,civile
optics,optica
trout,păstrăv
station,stația de
poker,poker
neutral,neutru
choir,corul
patent,brevet
error,eroare
recommend,recomand
stockholm,stockholm
warehouse,depozit
row,rând
bracket,suport
hindu,hindus
mirror,oglinda
wet,umed
socket,soclu
clock,ceas
advertising,publicitate
sperm,sperma
campus,campus
most,cele mai
own,propriu
tracker,tracker
tablet,tableta
damages,daune
relate,se referă
view,vedere
desktop,desktop
river,râu
jungle,jungla
occur,apar
safety,de siguranță
prevent,preveni
updating,actualizarea
causing,provocând
eligible,eligibile
retrieve,prelua
surveillance,supraveghere
channels,canale
fur,blana
term,pe termen
boutique,boutique
division,divizia
nonprofit,non-profit
undo,undo
kidney,rinichi
inclusion,includerea
particle,particule
believe,cred
filename,filename
agenda,agenda
haiti,haiti
recovered,recuperate
singing,cântând
institutional,instituționale
sign,semn
departmental,departamentale
evidence,dovezi
flesh,carnea
pan,pan
temple,templul
reply,răspuns
bibliographic,bibliografice
anxiety,anxietate
ranking,clasament
footage,imagini
eos,eos
beth,beth
derived,derivate
work,munca
funds,fonduri
hacker,hacker
noted,remarcat
charming,fermecător
alexander,alexandru
adaptive,adaptive
single,single
ti,ti
spank,spank
lindsay,lindsay
planet,planeta
gentleman,domn
posting,postarea
combined,combinate
valuation,evaluare
telescope,telescop
order,pentru
accident,accident
summit,summit-ul
son,fiul
convergence,convergență
voltage,tensiune
specify,specifica
becoming,devenind
typical,tipic
nutritional,nutritive
qatar,qatar
oxide,oxid de
steady,echilibru
diesel,diesel
adequate,adecvate
unwrap,desface
cleaning,curățare
badge,insigna
copyright,drepturile de autor
cause,cauza
kingdom,regatul
ro,ro
heath,heath
rid,scapa
librarian,bibliotecar
tours,excursii
ontario,ontario
cooking,gătit
observe,observa
buzz,buzz
convention,convenția
metabolism,metabolismul
broadway,broadway
corporation,corporation
commander,comandantul
van,van
gilbert,gilbert
float,float
arlington,arlington
interaction,interacțiunea
beauty,frumusete
low,low
figure,figura
basics,elementele de bază
methodology,metodologia
ignore,ignora
intermediate,intermediar
alpine,alpine
developed,dezvoltat
peru,peru
tender,licitație
preserve,păstra
neural,neuronale
recorder,recorder
pricing,de stabilire a prețurilor
structural,structurale
genesis,geneza
library,biblioteca
promising,promițătoare
bolivia,bolivia
different,diferite
ground,teren
weekly,săptămânal
sacred,sacru
wait,stai
geological,geologice
agreement,acord
edgar,edgar
merchant,comerciant
good,buna
text,text
pointer,indicatorul
theory,teoria
casting,casting
clause,clauza
dialogue,dialogue
psi,psi
declare,declara
debut,debut
principle,principiul
program,program
marathon,maraton
indication,indicație
dance,dans
balloon,balon
social,sociale
knowing,știind
outside,în afara
sphere,sfera
warming,încălzirea
knitting,tricotat
zoom,zoom
therapeutic,terapeutice
exceptional,excepționale
fleet,flota
conditional,condiționată
kill,ucide
verification,verificare
harvard,harvard
jumping,sărituri
assisted,asistată
indie,indie
opened,deschis
section,secțiunea
recognize,recunosc
bachelor,burlac
degree,gradul
cheese,brânză
chef,chef
syria,siria
hopkins,hopkins
mexico,mexic
pantyhose,chilot
walker,walker
variation,variația
memorial,memorial
center,centru
skill,calificare
bye,pa
thirty,treizeci de
page,pagina
beta,beta
gel,gel
negotiation,negociere
german,germană
spiritual,spiritual
pacific,pacific
gone,plecat
knife,cuțit
mon,mon
s,s
red,roșu
answering,răspunde
weekend,week-end
tested,testat
hour,oră
protective,de protecție
revolution,revoluția
mercy,mila
exclusion,excluderea
blanket,pătură
parallel,paralel
warm,cald
jewish,evrei
consortium,consorțiul
enterprise,enterprise
partial,parțială
nuke,nuke
cylinder,cilindru
greek,greacă
presentation,prezentare
produce,produce
description,descriere
photographic,fotografice
manufacturer,producător
leader,liderul
cool,cool
compromise,compromis
nut,piuliță
alignment,alinierea
accreditation,acreditare
devil,diavolul
effectively,eficient
tobago,tobago
shake,se agită
expired,expirat
joel,joel
responsible,responsabil
seller,vânzător
environment,mediu
loss,pierderea
intended,destinat
prove,dovedi
examination,examinarea
hydrogen,hidrogen
omega,omega
reach,ajunge
disaster,dezastru
accepting,acceptarea
potentially,potențial
hired,angajat
tackle,aborda
price,pret
japanese,japoneze
den,den
slovenia,slovenia
medieval,medieval
pickup,pickup
pine,pin
finished,terminat
advanced,avansat
threshold,pragul
median,mediana
forest,pădure
kent,kent
ordinance,ordonanța
lodging,cazare
butter,unt
recorded,înregistrate
climate,clima
pound,lira
ride,plimbare
net,net
peter,peter
increase,crește
domain,domeniu
budget,buget
cardiac,cardiace
care,îngrijire
bennett,bennett
consultancy,consultanta
heritage,patrimoniul
netherlands,olanda
flash,flash
lane,lane
please,te rog
nightlife,viata de noapte
quantum,quantum
okay,bine
cuba,cuba
breath,respirația
trained,instruiți
range,gama
controlling,controlul
mexican,mexican
belgium,belgia
cocktail,cocktail
switzerland,elveția
bug,bug
nickname,porecla
shelf,raft
daughter,fiica
download,download
drug,de droguri
latino,latino
salon,salon
wicked,rea
polo,polo
motel,motel
bulletin,buletinul
tool,instrument
treasure,comoara
contribution,contribuția
earlier,mai devreme
intelligent,inteligent
strand,strand
tobacco,tutun
supplier,furnizor
brave,curajos
downtown,centru
assure,asigur
stomach,stomac
spelling,ortografie
jam,gem
industrial,industriale
hero,erou
relaxation,relaxare
fusion,fusion
rod,tija
sword,sabia
hub,hub
tract,- intestinal
listed,enumerate
breed,rasa
gates,gates
merely,doar
credits,credite
vatican,vatican
plastic,plastic
sick,bolnav
incorporated,încorporat
message,mesaj
imaging,imagistica
massage,masaj
lease,leasing
trigger,trigger
pencil,creion
birmingham,birmingham
glucose,glucoza
mu,mu
pocket,buzunar
light,lumina
quote,citat
bin,bin
executive,executive
hourly,detalii
developmental,de dezvoltare
mental,mental
see,vezi
tactics,tactica
want,vreau
included,inclus
engine,motor
texas,texas
juice,suc
pal,amice
part,parte
release,eliberarea
list,lista
vary,varia
framed,încadrată
spain,spania
induction,inducție
counter,contra
affiliate,afiliere
enclosure,cabina
martial,martiale
detect,detecta
lawrence,lawrence
immunology,imunologie
basic,de bază
excitement,emoție
owned,deținute
transparent,transparent
harmful,dăunătoare
raw,prime
regardless,indiferent
credit,credit
tear,lacrima
nebraska,nebraska
princess,printesa
health,sănătate
asian,asiatice
productive,productiv
super,super
europe,europa
puzzle,puzzle
halifax,halifax
cement,ciment
doubt,îndoială
laos,laos
calculation,calculul
guyana,guyana
oakland,oakland
prayer,rugăciune
fighter,luptător
template,șablon
man,om
finance,finanțe
brick,caramida
breach,încălcarea
neon,neon
food,alimente
cornwall,cornwall
sucking,supt
jeep,jeep
alert,alertă
banks,băncile
closed,închis
crisis,criza
gothic,gotic
cultural,culturale
imagine,imaginați-vă
large,mare
madness,nebunie
infrared,infraroșu
friendly,prietenos
wind,vântul
best,cel mai bun
pork,carne de porc
col,col
preview,previzualizare
fifteen,cincisprezece
crest,crest
peak,vârf
temporarily,temporar
sum,suma
harrison,harrison
litigation,litigii
visibility,vizibilitate
majority,majoritatea
idaho,idaho
result,rezultatul
divorce,divorț
jump,sari
floral,florale
trinity,trinity
jaguar,jaguar
bronze,bronz
confidentiality,confidențialitatea
bent,îndoit
portfolio,portofoliu
going,o
staff,personalul
cove,cove
expansion,extinderea
contrary,contrar
involved,implicat
rough,dur
otherwise,altfel
harm,rău
attempted,a încercat
publish,publica
chest,piept
waste,deșeuri
assigned,atribuit
priest,preot
feat,feat
reject,respinge
technology,tehnologia
timber,cherestea
significance,semnificația
par,par
portrait,portret
file,fișier
stadium,stadion
washington,washington
armed,armate
cube,cub
reed,reed
thereby,astfel
scan,scanare
market,piata
ill,bolnav
blast,explozie
dos,dos
dare,îndrăznesc
flood,inundații
chile,chile
bc,bc
ms,ms
lance,lance
scope,domeniul de aplicare
miss,- e dor
bidder,ofertant
hardly,cu greu
grounds,motive
supported,sprijinit
ray,ray
spine,coloanei vertebrale
lower,mai mici
passion,pasiunea
minutes,minute
ant,ant
suppose,să presupunem că
generous,generos
modification,modificarea
collins,collins
compare,compara
incorporate,includerea
mission,misiunea
regulation,regulamentul
irrigation,irigare
shepherd,shepherd
bird,pasăre
mrs,dna
bright,luminoase
terry,terry
lawyer,avocat
retreat,retragere
massachusetts,massachusetts
protecting,protejarea
wow,wow
gradually,treptat
rising,în creștere
doom,doom
greater,mai mare
complexity,complexitatea
circular,circular
published,publicat
count,conta
declared,a declarat
rings,inele
guided,ghidat
mapping,cartografiere
dragon,dragon
literature,literatura
cotton,bumbac
unavailable,indisponibil
clearly,în mod clar
wallpaper,tapet
favorite,preferate
mozambique,mozambic
careful,atent
solomon,solomon
nearby,în apropiere
legend,legenda
veteran,veteran
moss,moss
profession,profesie
portland,portland
publicly,public
illness,boala
replication,replicare
designation,denumire
determination,determinarea
sheet,foaie
wild,wild
boolean,boolean
book,carte
wesley,wesley
refinance,- și refinanțeze
wagon,vagon
pe,pe
aberdeen,aberdeen
sheep,oi
mention,mai vorbim
plan,planul
walnut,nuc
albert,albert
meter,metru
rip,rip
genome,genomul
joined,s-au alăturat
antenna,antena
channel,canal
carefully,cu atenție
samba,samba
reef,reef
never,nu
person,persoana
decline,declinul
statewide,statewide
bulgaria,bulgaria
opposite,opus
cursor,cursorul
fund,fondul
removed,eliminat
thai,thai
colored,colorate
bulk,vrac
cooperation,cooperarea
mystery,mister
switch,comutator
upload,incarca
big,mare
thickness,grosime
pennsylvania,pennsylvania
polyphonic,polifonice
gardening,grădinărit
late,târziu
pleasant,placuta
straight,drept
indian,indian
dumb,prost
sing,cântă
woman,femeie
inform,informa
holly,holly
serial,serial
furnished,mobilat
report,raportul
presence,prezența
neo,neo
assessment,evaluare
happiness,fericirea
not,nu
seeker,căutătorul
according,conform
evil,evil
town,oraș
protected,protejate
bottom,jos
roommate,colega
simpson,simpson
teach,preda
finish,finisaj
mint,menta
proper,buna
rochester,rochester
sharp,sharp
hungarian,maghiară
truly,cu adevărat
luck,noroc
easily,cu ușurință
longest,cea mai lungă
image,imagine
stranger,străin
morris,morris
implement,punerea în aplicare
aa,aa
tariff,tariful
hampshire,hampshire
relationship,relația
consultation,consultare
powered,alimentat
sunglasses,ochelari de soare
logan,logan
graphic,grafic
figured,gândit
danish,daneză
dominican,dominicană
regulated,reglementate
david,david
integer,întreg
black,negru
unusual,neobișnuit
printable,tipărit
integrated,integrat
lake,lac
passing,trece
mil,mil
tired,obosit
article,articolul
experienced,experimentat
transmit,transmite
hughes,hughes
shortly,la scurt timp
sapphire,safir
anatomy,anatomie
functionality,funcționalitate
burst,izbucni
model,model
packet,pachet
bare,goale
race,cursa
catch,prinde
allah,allah
fool,prost
tape,banda
relevant,relevante
correspondence,corespondență
giant,gigant
version,versiune
seeing,vezi
innocent,nevinovat
dodge,dodge
smart,inteligent
haven,am
blank,gol
accept,accepta
pitch,teren
navigation,navigare
logic,logica
february,februarie
buying,cumpara
unix,unix
automotive,auto
smith,smith
tower,turnul
resident,rezident
naples,napoli
movement,mișcarea
owen,owen
pose,poza
excellent,excelent
verse,versetul
interstate,autostrada
hard,greu
works,lucrări
humanity,omenirea
equipped,echipat
ron,ron
asin,asin
hear,auzi
pace,ritmul
communicate,comunica
danger,pericol
persistent,persistente
intellectual,intelectuală
bean,bean
heated,încălzit
studio,studio
bride,mireasa
fit,se potrivesc
quarterly,trimestrial
temp,temp
bound,legat
berkeley,berkeley
vienna,viena
consequently,în consecință
phrase,fraza
restore,restaurare
by,de
leon,leon
saver,saver
ab,ab
